province,location,year,latinName,commonName,counts,catched,adult,pulli,not_catched
Antwerpen,Beerse,2018,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Beerse,2018,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Beerse,2018,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Beerse,2018,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Beerse,2018,Anser indicus,Indische gans,0,,,,
Antwerpen,Beerse,2018,Branta canadensis,Canadese gans,60,,,,
Antwerpen,Beerse,2018,Branta leucopsis,Brandgans,36,,,,
Antwerpen,Beerse,2018,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Beerse,2018,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Bornem,2014,Alopochen aegyptiacus,Nijlgans,163,,,,
Antwerpen,Bornem,2014,Anser albifrons,Kolgans,0,,,,
Antwerpen,Bornem,2014,Anser anser,Grauwe gans,0,,,,
Antwerpen,Bornem,2014,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Bornem,2014,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Bornem,2014,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Bornem,2014,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Bornem,2014,Anser indicus,Indische gans,0,,,,
Antwerpen,Bornem,2014,Branta canadensis,Canadese gans,31,,,,
Antwerpen,Bornem,2014,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Bornem,2014,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Bornem,2014,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Bornem,2015,Alopochen aegyptiacus,Nijlgans,382,,,,
Antwerpen,Bornem,2015,Anser albifrons,Kolgans,0,,,,
Antwerpen,Bornem,2015,Anser anser,Grauwe gans,0,,,,
Antwerpen,Bornem,2015,Anser anser forma domesticus,Soepgans,1,,,,
Antwerpen,Bornem,2015,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Bornem,2015,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Bornem,2015,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Bornem,2015,Anser indicus,Indische gans,0,,,,
Antwerpen,Bornem,2015,Branta canadensis,Canadese gans,24,,,,
Antwerpen,Bornem,2015,Branta leucopsis,Brandgans,1,,,,
Antwerpen,Bornem,2015,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Bornem,2015,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Bornem,2016,Alopochen aegyptiacus,Nijlgans,89,,,,
Antwerpen,Bornem,2016,Anser albifrons,Kolgans,0,,,,
Antwerpen,Bornem,2016,Anser anser,Grauwe gans,0,,,,
Antwerpen,Bornem,2016,Anser anser forma domesticus,Soepgans,2,,,,
Antwerpen,Bornem,2016,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Bornem,2016,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Bornem,2016,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Bornem,2016,Anser indicus,Indische gans,0,,,,
Antwerpen,Bornem,2016,Branta canadensis,Canadese gans,33,,,,
Antwerpen,Bornem,2016,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Bornem,2016,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Bornem,2016,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Bornem,2018,Alopochen aegyptiacus,Nijlgans,471,,,,
Antwerpen,Bornem,2018,Anser albifrons,Kolgans,0,,,,
Antwerpen,Bornem,2018,Anser anser,Grauwe gans,19,,,,
Antwerpen,Bornem,2018,Anser anser forma domesticus,Soepgans,1,,,,
Antwerpen,Bornem,2018,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Bornem,2018,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Bornem,2018,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Bornem,2018,Anser indicus,Indische gans,0,,,,
Antwerpen,Bornem,2018,Branta canadensis,Canadese gans,94,,,,
Antwerpen,Bornem,2018,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Bornem,2018,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Bornem,2018,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Dessel,2013,Alopochen aegyptiacus,Nijlgans,21,,,,
Antwerpen,Dessel,2013,Anser albifrons,Kolgans,0,,,,
Antwerpen,Dessel,2013,Anser anser,Grauwe gans,5,,,,
Antwerpen,Dessel,2013,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Dessel,2013,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Dessel,2013,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Dessel,2013,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Dessel,2013,Anser indicus,Indische gans,0,,,,
Antwerpen,Dessel,2013,Branta canadensis,Canadese gans,11,,,,
Antwerpen,Dessel,2013,Branta leucopsis,Brandgans,1,,,,
Antwerpen,Dessel,2013,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Dessel,2013,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Dessel,2015,Alopochen aegyptiacus,Nijlgans,0,,,,
Antwerpen,Dessel,2015,Anser albifrons,Kolgans,0,,,,
Antwerpen,Dessel,2015,Anser anser,Grauwe gans,11,,,,
Antwerpen,Dessel,2015,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Dessel,2015,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Dessel,2015,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Dessel,2015,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Dessel,2015,Anser indicus,Indische gans,0,,,,
Antwerpen,Dessel,2015,Branta canadensis,Canadese gans,0,,,,
Antwerpen,Dessel,2015,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Dessel,2015,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Dessel,2015,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Dessel,2016,Alopochen aegyptiacus,Nijlgans,15,,,,
Antwerpen,Dessel,2016,Anser albifrons,Kolgans,0,,,,
Antwerpen,Dessel,2016,Anser anser,Grauwe gans,14,,,,
Antwerpen,Dessel,2016,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Dessel,2016,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Dessel,2016,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Dessel,2016,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Dessel,2016,Anser indicus,Indische gans,0,,,,
Antwerpen,Dessel,2016,Branta canadensis,Canadese gans,49,,,,
Antwerpen,Dessel,2016,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Dessel,2016,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Dessel,2016,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Dessel,2017,Alopochen aegyptiacus,Nijlgans,32,,,,
Antwerpen,Dessel,2017,Anser albifrons,Kolgans,0,,,,
Antwerpen,Dessel,2017,Anser anser,Grauwe gans,92,19,15,4,0
Antwerpen,Dessel,2017,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Dessel,2017,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Dessel,2017,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Dessel,2017,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Dessel,2017,Anser indicus,Indische gans,0,,,,
Antwerpen,Dessel,2017,Branta canadensis,Canadese gans,6,,,,
Antwerpen,Dessel,2017,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Dessel,2017,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Dessel,2017,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Dessel,2018,Alopochen aegyptiacus,Nijlgans,0,,,,
Antwerpen,Dessel,2018,Anser albifrons,Kolgans,0,,,,
