gbifID	occurrenceID	scientificName	taxonKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	basisOfRecord	sex	lifeStage	individualCount
5901037738	6-1644362	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037737	6-1644361	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037736	6-1644360	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037726	6-1657694	Procyon lotor (Linnaeus, 1758)	5218786	50.050973	5.063794	49	2025-03-31	HUMAN_OBSERVATION			2
5901037717	6-1644376	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037715	6-1644375	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037714	6-1644374	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037713	6-1644373	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037710	6-1644372	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037709	6-1644371	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037708	6-1644370	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037703	6-1657642	Procyon lotor (Linnaeus, 1758)	5218786	50.042454	5.099368	49	2025-03-31	HUMAN_OBSERVATION			1
5901037699	6-1644347	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037698	6-1653298	Procyon lotor (Linnaeus, 1758)	5218786	50.111076	5.56593	49	2025-04-03	HUMAN_OBSERVATION			3
5901037697	6-1644342	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037696	6-1644341	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037695	6-1644340	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037694	6-1642170	Procyon lotor (Linnaeus, 1758)	5218786	49.748378	5.52971	49	2025-04-02	HUMAN_OBSERVATION			1
5901037687	6-1644359	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037685	6-1644358	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037684	6-1644357	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037683	6-1644355	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037682	6-1655006	Procyon lotor (Linnaeus, 1758)	5218786	49.732816	5.18875	49	2025-04-08	HUMAN_OBSERVATION			1
5901037681	6-1645200	Procyon lotor (Linnaeus, 1758)	5218786	50.185414	5.370559	49	2023-11-21	HUMAN_OBSERVATION		Adult	1
5901037673	6-1642143	Procyon lotor (Linnaeus, 1758)	5218786	49.748378	5.52971	49	2025-03-19	HUMAN_OBSERVATION			1
