id,date,species,n_fishes,n_traps,location_id,location_name,location_x,location_y,weight,weight_total,weight_unit,weight_calibration,length,length_unit,depth,depth_unit
144,2009-03-26,baars,1,2,81200100,Zandplaat Kastel,137700,193386,133.9,,g,3.2017985521815717,21.6,cm,68,cm
145,2009-03-26,brasem,1,2,81200100,Zandplaat Kastel,137700,193386,143.2,,g,-3.1521046720445156,23.5,cm,113,cm
146,2009-03-26,giebel,1,2,81200100,Zandplaat Kastel,137700,193386,88.3,,g,4.206924685277045,17,cm,23,cm
147,2009-03-26,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,10.1,,g,0.5844325781799853,10,cm,86,cm
148,2009-03-26,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,5.3,,g,-1.0812939354218543,7.8,cm,94,cm
149,2009-03-26,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,4,,g,-3.160695140250027,7.7,cm,178,cm
150,2009-07-07,chinese_wolhandkrab,1,2,81200100,Zandplaat Kastel,137700,193386,,9.974179637371376,g,-2.2369212307967246,,cm,173,cm
151,2009-07-07,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,1.9,,g,0.4609905439428985,5.3,cm,143,cm
152,2009-07-07,baars,1,2,81200100,Zandplaat Kastel,137700,193386,2,,g,0.07797189755365252,5.6,cm,96,cm
153,2009-07-07,baars,1,2,81200100,Zandplaat Kastel,137700,193386,47.1,,g,-2.65878077596426,15.9,cm,91,cm
154,2009-07-07,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,2.1,,g,4.506423263810575,5.8,cm,143,cm
155,2009-07-07,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,6.2,,g,-0.1942209410481155,7.6,cm,171,cm
156,2009-07-07,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,6.2,,g,3.6414086539298296,8.3,cm,78,cm
157,2009-07-07,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,31.7,,g,2.409665258601308,14,cm,147,cm
158,2009-07-07,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,59,,g,3.3890852029435337,16,cm,124,cm
159,2009-07-07,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,96.2,,g,-4.681780806276947,18.9,cm,82,cm
160,2009-07-07,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,1.4,,g,1.6812238655984402,4.5,cm,41,cm
161,2009-07-07,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,2.1,,g,-2.2118116868659854,5.7,cm,124,cm
162,2009-07-07,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,2.6,,g,-2.258436100091785,6.4,cm,41,cm
163,2009-07-07,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,5,,g,3.6591619858518243,7.5,cm,70,cm
164,2009-07-07,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,4.4,,g,-0.519059244543314,7.7,cm,159,cm
165,2009-07-07,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,5.9,,g,3.594730547629297,8.9,cm,142,cm
166,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,45.9,,g,3.4265123726800084,36,cm,114,cm
167,2009-07-07,steurgarnaal,2,2,81200100,Zandplaat Kastel,137700,193386,,3,g,4.999768699053675,,cm,154,cm
168,2009-07-07,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,91.7,,g,-1.960276400204748,19.2,cm,21,cm
