AB_r,Bacterial_genotype,Phage_t,OD_0h,OD_20h,OD_72h,Survival_72h,PhageR_72h
Rif,S512F,T7,0.0243,0.0075,0.1826,1,1
Cip,S83L,T7,0.1896,0.008,0.0068,0,0
Cip,S83L,T7,0.1748,0.0075,0.0061,0,0
Cip,S83L,T7,0.158,0.0078,0.0093,0,0
Cip,S83L,T7,0.1461,0.0079,0.0057,0,0
Cip,S83L,T7,0.1252,0.0066,0.0054,0,0
Cip,S83L,T7,0.1166,0.0067,0.0062,0,0
Cip,S83L,T7,0.1123,0.0075,0.0049,0,0
Cip,S83L,T7,0.0939,0.0065,0.0031,0,0
Cip,S83L,T7,0.0867,0.0065,0.0049,0,0
Cip,S83L,T7,0.0835,0.0041,0.0041,0,0
Cip,S83L,T7,0.0736,0.0064,0.0065,0,0
Cip,S83L,T7,0.0704,0.0057,0.0047,0,0
Cip,S83L,T7,0.0712,0.0076,0.0056,0,0
Cip,S83L,T7,0.0681,0.0045,0.0055,0,0
Cip,S83L,T7,0.0658,0.0048,0.0039,0,0
Cip,S83L,T7,0.0632,0.0052,0.0049,0,0
Cip,S83L,T7,0.057,0.0049,0.0042,0,0
Cip,S83L,T7,0.0529,0.0035,0.0027,0,0
Cip,S83L,T7,0.0451,0.0047,0.0035,0,0
Cip,S83L,T7,0.1367,0.0098,0.1552,0,0
Cip,S83L,T7,0.094,0.0118,0.1274,0,0
Cip,S83L,T7,0.1218,0.0111,0.1293,1,1
Cip,S83L,T7,0.1076,0.0078,0.1388,1,1
Cip,S83L,T7,0.074,0.0301,0.1321,1,1
sensitive,MUT,T7,0.0981,0.0124,0.194,1,1
sensitive,MUT,T7,0.071,0.0333,0.1696,1,1
sensitive,MUT,T7,0.068,0.0311,0.189,1,1
sensitive,MUT,T7,0.0719,0.0324,0.2046,1,1
sensitive,MUT,T7,0.0845,0.0194,0.2204,1,1
sensitive,MUT,T7,0.0705,0.0353,0.2153,1,1
sensitive,MUT,T7,0.0634,0.0622,0.2104,1,1
sensitive,MUT,T7,0.0809,0.0399,0.2376,1,1
sensitive,MUT,T7,0.0695,0.0266,0.2479,1,1
sensitive,MUT,T7,0.068,0.0506,0.2521,1,1
sensitive,MUT,T7,0.0681,0.0314,0.2621,1,1
sensitive,MUT,T7,0.0654,0.0253,0.2674,1,1
sensitive,MUT,T7,0.0691,0.0236,0.2724,1,1
sensitive,MUT,T7,0.0935,0.0411,0.2993,1,1
sensitive,MUT,T7,0.0732,0.0128,0.2806,1,1
sensitive,MUT,T7,0.0665,0.0216,0.2766,1,1
sensitive,MUT,T7,0.0847,0.029,0.3377,1,1
sensitive,MUT,T7,0.0594,0.0294,0.3145,1,1
sensitive,MUT,T7,0.0943,0.0399,0.3535,1,1
sensitive,MUT,T7,0.0417,0.0402,0.3179,1,1
sensitive,MUT,T7,0.0789,0.0276,0.3601,1,1
sensitive,MUT,T7,0.0875,0.0216,0.3709,1,1
sensitive,MUT,T7,0.0755,0.0418,0.3628,1,1
sensitive,MUT,T7,0.0401,0.0345,0.3321,1,1
