gbifID	species	speciesKey	genus	genusKey	eventDate	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
4855520188	Stegania trimaculata	5149839	Stegania	1991817	2024-05-05T13:26:08Z	50.521976	4.84367	160
4855514988	Araschnia levana	1902533	Araschnia	1902519	2024-05-05T11:13:00Z	51.156167	4.602778	31
4855507961	Callimorpha dominula	4532534	Callimorpha	8936210	2024-05-04T14:24:00Z	50.281537	5.724938	197
4855484786	Anorthoa munda	6544687	Anorthoa	4407310	2024-05-05T10:11:00Z	51.150706	4.595814	15
4855478771	Opisthograptis luteolata	1960617	Opisthograptis	1960592	2024-05-04T08:26:35Z	50.467155	4.328028	200
4855477147	Eupithecia abbreviata	1984117	Eupithecia	1982367	2024-05-02T07:46:00Z	50.551548	5.098327	1
4855468321	Borkhausenia minutella	1838911	Borkhausenia	12031311	2024-05-03T19:54:45Z	50.946679	4.509527	26293
4855463034	Phlogophora meticulosa	1782560	Phlogophora	1782524	2024-05-04T07:38:42Z	51.2301	2.941968	27
4855461129	Cerura vinula	1825156	Cerura	1825121	2024-05-02T07:29:00Z	50.438745	6.108842	2
4855458758	Cossus cossus	5101394	Cossus	1730815	2024-05-03T18:52:56Z	51.239089	2.960322	9
4855433468	Plodia interpunctella	1873079	Plodia	1873074	2024-05-05T16:59:00Z	50.570702	3.507869	2
4855429594	Autographa gamma	1792418	Autographa	1792405	2024-05-01T15:20:56Z	51.238003	2.93223	167
4855425144	Orthosia cerasi	1798984	Orthosia	1798902	2024-05-02T06:56:00Z	50.438736	6.108837	2
4855418831	Saturnia pavonia	1867820	Saturnia	1867810	2024-05-01T16:24:50Z	51.280858	3.225363	8
4855415116	Celastrina argiolus	1925918	Celastrina	1925804	2024-04-30T15:12:00Z	49.66401	5.771317	2
4855409507	Alucita hexadactyla	1992504	Alucita	1856631	2024-05-02T07:10:00Z	50.438744	6.108846	2
4855394737	Orthosia incerta	1799135	Orthosia	1798902	2024-05-01T07:01:00Z	50.438738	6.108855	2
4855389631	Papilio machaon	8225376	Papilio	10175914	2024-05-01T16:18:18Z	50.433203	3.939992	723
4855363434	Xanthorhoe fluctuata	1986157	Xanthorhoe	1986081	2024-05-02T15:34:00Z	49.664088	5.771528	173
4855359815	Orthosia cruda	11992983	Orthosia	1798902	2024-05-02T08:23:00Z	51.149748	4.629935	4
4855353626	Opisthograptis luteolata	1960617	Opisthograptis	1960592	2024-05-01T07:31:00Z	50.551546	5.098297	1
4855351707	Orthosia incerta	1799135	Orthosia	1798902	2024-05-01T07:24:00Z	50.438725	6.108833	2
4855349041	Phlogophora meticulosa	1782560	Phlogophora	1782524	2024-04-08T22:21:57Z	51.125423	4.478017	188
4855342830	Cossus cossus	5101394	Cossus	1730815	2024-05-01T14:28:09Z	51.012604	3.655845	46
4855342783	Autographa gamma	1792418	Autographa	1792405	2024-05-01T11:33:40Z	50.74472	4.885545	294
4855338717	Notodonta ziczac	4534909	Notodonta	1825076	2024-05-01T06:54:00Z	50.438729	6.108847	2
4855334699	Pararge aegeria	8049830	Pararge	1894469	2024-05-05T15:48:00Z	50.981576	4.537239	2
4855333196	Syndemis musculana	1744180	Syndemis	1744165	2024-05-01T00:00:00Z	50.8097	4.40662	4
4855316475	Tethea or	5142971	Tethea	1952300	2024-05-01T06:49:00Z	50.43874	6.108857	2
4855309866	Lasiocampa quercus	1734826	Lasiocampa	1734683	2024-05-04T13:59:00Z	50.927477	4.042399	8
4855275558	Anania hortulata	8858121	Anania	7739898	2024-05-05T23:27:37Z	51.321381	5.220513	26229
4855275361	Carcharodus alceae	8277078	Carcharodus	1943357	2024-05-05T13:25:00Z	49.664085	5.772235	144
4855264473	Lasiocampa quercus	1734826	Lasiocampa	1734683	2024-05-05T15:53:39Z	51.000272	4.518278	4
4855262484	Incurvaria capittella	1860711	Incurvaria	1860657	2024-05-03T13:17:52Z	50.812825	4.398244	11
4855251107	Pyrausta despicata	1890576	Pyrausta	1890369	2024-05-05T09:46:00Z	49.66409	5.771533	94
4855240082	Lasiocampa quercus	1734826	Lasiocampa	1734683	2024-04-30T12:00:36Z	50.249435	4.92952	3
4855226597	Anthocharis cardamines	1919712	Anthocharis	1919696	2024-05-07T11:27:00Z	50.818262	4.398633	4
4855211623	Pyrausta despicata	1890576	Pyrausta	1890369	2024-05-07T08:27:00Z	49.664046	5.771369	4
4855207677	Euthrix potatoria	1734453	Euthrix	1734388	2024-05-04T09:27:00Z	50.242762	5.777423	8
4855204479	Pararge aegeria	8049830	Pararge	1894469	2024-05-05T11:02:00Z	51.156725	4.606414	8
4855197046	Pieris napi	1920494	Pieris	1920481	2024-05-05T10:53:00Z	51.157214	4.607068	8
4855178791	Pseudopanthera macularia	1954563	Pseudopanthera	1954555	2024-05-02T12:22:00Z	50.500415	5.054822	2
4855169551	Wittia sororcula	7596232	Wittia	3257694	2024-05-01T07:13:00Z	50.438744	6.108847	2
4855167711	Mimas tiliae	5123922	Mimas	1863292	2024-05-04T18:08:06Z	50.852405	4.353988	31
4855163084	Coenonympha pamphilus	1911461	Coenonympha	1911078	2024-05-01T11:24:53Z	50.413512	4.006055	98
4855158316	Anthocharis cardamines	1919712	Anthocharis	1919696	2024-05-05T13:06:00Z	50.814183	4.435472	94
4855151891	Aethalura punctulata	1990150	Aethalura	1990136	2024-05-02T07:07:00Z	50.438735	6.108835	2
4855146964	Anthocharis cardamines	1919712	Anthocharis	1919696	2024-05-04T14:56:00Z	50.927403	4.043315	8
4855128637	Chiasmia clathrata	4525078	Chiasmia	4525072	2024-05-05T12:58:22Z	50.962994	5.668926	8
4855116713	Pseudopanthera macularia	1954563	Pseudopanthera	1954555	2024-05-05T11:24:49Z	49.841187	5.00765	1403
4855114751	Pseudopanthera macularia	1954563	Pseudopanthera	1954555	2024-05-05T14:12:37Z	50.826892	2.9677	19
4855113643	Ematurga atomaria	1956440	Ematurga	1956434	2024-05-07T10:29:00Z	49.664212	5.771988	224
4855112863	Lobophora halterata	5144426	Lobophora	1964936	2024-05-01T07:33:00Z	50.551542	5.098315	1
4855110611	Micropterix calthella	1939677	Micropterix	1939616	2024-05-01T00:00:00Z	50.79264	4.413504	8
4855108508	Coenonympha pamphilus	1911461	Coenonympha	1911078	2024-05-05T11:38:00Z	51.156242	4.600355	8
